Scientific name,General Name,Origin,Uses
Mangifera,Mango,South Asia,"Fruit, Timber, Ornamental"
Melaleuca,Paperbark,"Australia, Southeast Asia","Ornamental, Essential oils (Tea Tree), Landscaping"
Melia azedarach,Chinaberry,Asia,"Ornamental, Timber (small objects), Insecticide"
Metasequoia glyptostroboides,Dawn Redwood,China,Ornamental
Morus bombycis,Japanese Mulberry,Asia,"Fruit, Leaves for silkworms"
Musa,Banana,Southeast Asia,"Fruit, Fiber, Ornamental"
Nephelium lappaceum,Rambutan,Southeast Asia,"Fruit (fresh, canned)"
oak,Oak,Northern Hemisphere,"Timber (furniture, flooring), Wildlife food (acorns), Ornamental"
oriental plane,Oriental Plane,"Southeast Europe, Western Asia","Ornamental (shade tree), Timber"
Persea,Avocado genus,"Americas, Asia","Fruit (Avocado), Timber, Ornamental"
pine,pine,northen forests worldwide,"lumber,paper,pine nuts,resin/turpentine,Christmas trees"
Pinus densiflora,Japanese Red Pine,Asia,"Ornamental, Timber, Bonsai"
Pinus koraiensis,Korean Pine,Asia,"Nuts (edible), Timber"
Pinus rigida,Pitch Pine,North America,"Timber, Resin, Ornamental"
Pinus rigitaeda,Japanese Red Pine,Southeastern United States,"Ornamental plant in gardens and parks,Timber,Windbreak"
Pinus strobus,Eastern White Pine,North America,"Timber, Ornamental"
Platanus occidentalis,American Sycamore,North America,"Ornamental, Timber"
Polyalthia longifolia,Indian Mast Tree,"India, Sri Lanka","Ornamental, Noise barrier, Timber"
Populus Tomentiglandulosa,Hybrid Cottonwood,"North America, Parts of Europe","Neuro-protection,Antioxidant,Fast-growing urban,reclamation tree for shade and timber"
Prunus yedoensis,Yoshino Cherry,Japan,Ornamental
Prunus salicina,Japanese Plum,China,"Fruit (fresh, dried, preserved)"
Prunus serrulata,Japanese Cherry,Asia,Ornamental
Prunnus,cherry / plum / almond group,Northern Hemisphere,"Fruit (plums, cherries, peaches, almonds), Ornamental"
Psidium guajava,Guava,"Mexico, Central America","Fruit, Medicinal, Jams, Juices"
Pterocarpus macrocarpus,Burmese Padauk,Southeast Asia,"High-value timber (furniture, flooring)"
Quercus acutissima,Sawtooth Oak,Asia,"Ornamental, Timber, Wildlife food"
Quercus alba,White Oak,North America,"Timber (furniture, barrels), Ornamental"
Quercus aliena,Oriental White Oak,Asia,"Ornamental, Timber"
Quercus dentata,Daimyo Oak,Asia,"Ornamental, Timber"
Quercus mongolica,Mongolian Oak,Asia,"Ornamental, Timber"
Quercus serrata,Japanese Oak,Asia,"Ornamental, Timber"
Quercus urticifolia,nettle-leaf oak,"Mountain woods of China, Korea and Japan","Shade tree, silkworm leaf food, tool/charcoal wood"
Quercus variabilis,Chinese Cork Oak,Asia,"Ornamental, Timber, Cork"
Robinia pseudoacacia,Black Locust,North America,"Timber (posts), Ornamental, Honey plant"
Senna siamea,Siamese Senna,South and Southeast Asia,"Ornamental, Hedges, Medicinal, Firewood"
Sorbus alnifolia,Korean Mountain Ash,Asia,"Ornamental, Fruit for wildlife"
Spondias mombin L,Yellow Mombin,Tropical Americas,"Fruit, Timber, Medicinal"
spruce,Christmas-tree/whitewood,"Cool-boreal belt across North America, Europe,Asia","Timber,paper, music wood, Christmas trees, tea, kindling"
Stewartia pseudocamellia,Japanese Stewartia,Japan,Ornamental
Styphnolobium japonicum,Japanese Pagoda Tree,"China, Korea","Ornamental, Medicinal"
Styrax japonicus,Japanese Snowbell,"Japan, Korea",Ornamental
Syzygium nervosum,"Water banyan/Cleistocalyx(old name),Voi(Vietnam)/Shui weng(China)",Southeast Asia,"Watershed protection, Timber"
Tamarindus indica,Tamarind,Tropical Africa,"Food (fruit pulp), Timber, Medicinal"
Taxodium distichum,Bald Cypress,USA,"Ornamental, Timber (rot-resistant)"
Terminalia catappa,Indian Almond,"Malaysia, New Guinea","Ornamental (shade tree), Nuts (edible), Timber"
Tectona grandis,Teak,South and Southeast Asia,"High-quality timber (furniture, shipbuilding)"
Tilia amurensis,Amur Linden,Asia,"Ornamental, Timber, Honey plant"
Ulmus parvifolia,Chinese Elm,Asia,"Ornamental, Bonsai, Timber"
Veitchia merrilli,Manila Palm,Philippines,"Ornamental, Landscaping"
Wrightia religiosa,Water Jasmine,Southeast Asia,"Ornamental, Bonsai, Religious ceremonies"
Wrightia,Wrightia,"Africa, Asia, Australia","Ornamental, Medicinal (varies by species)"
Zelkova serrata,Japanese Zelkova,"Japan, Korea","Ornamental, Bonsai, Timber"
