image,label,common name,origin,uses
images/210.jpg,koelreuteria_paniculata,Golden Rain Tree,Rocky Mountains USA,"Ornamental blue spruce, Christmas trees, windbreak"
images/216.jpg,liriodendron_tulipifera,Tulip Tree,C & E North America,"Edible low-tannin acorns, timber, wildlife food, ornamental"
images/227.jpg,styrax_japonica,Japanese Snowbell,E North America,"Tool handles, mallet heads, ornamental, dense fuel"
images/235.jpg,malus_pumila,Apple,C & E North America,"Plywood core, pallet lumber, windbreak, stream-bank stabilization"
images/236.jpg,prunus_sargentii,Sargent Cherry,E North America,"Basket weaving, erosion control along streams, aspirin precursor (salicin)"
images/259.jpg,cornus_mas,Cornelian Cherry,E North America,"Pulpwood, fuel, pine tar/pitch, wildlife habitat on poor soils"
images/262.jpg,magnolia_virginiana,Sweetbay Magnolia,Japan,"Ornamental (Sawara cypress), bonsai, rot-resistant lumber for temples"
images/298.jpg,ostrya_virginiana,American Hophornbeam,E North America,"Tool handles, smoking meats, edible nuts, dense fuel"
images/311.jpg,magnolia_acuminata,Cucumber Magnolia,SE USA,"Wildlife fruit, hedgerow thorns, ornamental, heart medicine"
images/312.jpg,ilex_opaca,American Holly,E North America,"Edible sweet berries, ornamental, wildlife browse"
images/324.jpg,acer_negundo,Box Elder (Manitoba Maple / Ash-leaf Maple),China,"Silkworm fodder, edible mulberries, fast shade, paper pulp"
images/333.jpg,fraxinus_nigra,Black Ash,E North America,"Medicinal bark tea, cordage, lumber, wildlife browse"
images/337.jpg,pyrus_calleryana,Callery Pear,China / Korea / Vietnam,"Ornamental bloom, pear rootstock, erosion control"
images/344.jpg,picea_abies,Norway Spruce,Western USA,"Christmas trees, construction lumber, paper, deer cover"
images/351.jpg,chionanthus_virginicus,Fringe Tree,S Europe / W Asia,"Edible tart berries, tool handles, medicine, ornamental"
images/363.jpg,carpinus_caroliniana,Hornbeam (Carolina Hornbeam / Ironwood),SE USA,"Wildlife fruit, hedgerow thorns, ornamental, heart medicine"
images/365.jpg,zelkova_serrata,Japanese Zelkova,E North America,"Ornamental shade, wagon-wheel hubs, fiber, wildlife browse"
images/385.jpg,aesculus_pavi,Ohio Buckeye (or similar pavi species),E North America,"Ornamental bark, erosion control, turnery wood, wildlife browse"
images/393.jpg,taxodium_distichum,Bald Cypress,SE United States,"Rot-resistant swamp lumber, wetland restoration, ornamental shade"
images/394.jpg,carya_tomentosa,Mockernut Hickory,E North America,"Tool handles, smoking meats, edible nuts, dense high-calorific fuel"
images/397.jpg,picea_pungens,Blue Spruce,Rocky Mountains USA,"Christmas tree, ornamental, windbreak"
images/401.jpg,carya_glabra,Pignut Hickory,E North America,"Tool handles, smoking meats, edible nuts, dense fuel"
images/408.jpg,quercus_macrocarpa,Bur Oak,E North America,"Tool handles, smoking meats, edible nuts, high-calorific fuel"
images/409.jpg,carya_cordiformis,Bitternut Hickory,Japan / Korea,"Ornamental cherry, early-spring nectar, autumn colour"
images/464.jpg,catalpa_bignonioides,Catalpa,China,"Silkworm fodder, edible mulberries, fast-growing shade, paper pulp"
images/483.jpg,tsuga_canadensis,Eastern Hemlock,E North America,"Ornamental, beads/whistles from seeds, wildlife cover"
images/485.jpg,populus_tremuloides,Quaking Aspen,E North America,"Edible white-walnut nuts, cabinet wood, maple-walnut syrup tapping"
images/494.jpg,magnolia_denudata,Magnolia (various),E Asia,"Paper-making, fodder leaves, fiber for cloth, ornamental"
images/505.jpg,crataegus_viridis,Fiddle-leaf Maple,S-Central USA,"Living fences, archery bows, insect repellent, yellow dye"
images/522.jpg,populus_deltoides,Bur Oak,E North America,"Edible white-walnut nuts, cabinet wood, maple-walnut syrup tapping"
images/531.jpg,ulmus_americana,Pignut Hickory,North America,"Wildlife food, jams/jellies (caution), ornamental, erosion control"
images/537.jpg,pinus_bungeana,Common Hoptree,E USA,"Acorn flour, wildlife mast, durable timber, fuel"
images/539.jpg,cornus_florida,Pawpaw,C/E North America,"Timber, wildlife acorns, fuel, tannin"
images/546.jpg,pinus_densiflora,Magnolia,SE USA,"Rot-resistant swamp lumber, wetland restoration, ornamental shade"
images/561.jpg,morus_alba,Siberian Elm,Eastern North America,"Tool handles, fence posts, dense fuel, ornamental"
images/573.jpg,quercus_velutina,White Fir,Japan / Korea,"Ornamental cherry, early-spring nectar, autumn colour"
images/585.jpg,pinus_parviflora,Southern Catalpa,Rocky Mountains USA,"Christmas tree, ornamental, windbreak"
images/611.jpg,salix_caroliniana,Silver Maple,Eastern North America,"Ornamental bark, erosion control, turnery wood, wildlife browse"
images/619.jpg,platanus_occidentalis,Black Gum,Europe / Western Asia,"Edible tart berries, tool handles, traditional medicine, ornamental"
images/620.jpg,acer_saccharum,American Sycamore,Western USA & Canada,"Edible large pine nuts, high-altitude reforestation, wildlife food"
images/622.jpg,pinus_flexilis,Rock Chestnut Oak,Eastern North America,"Acorn flour, wildlife mast, durable timber, fuel"
images/654.jpg,gleditsia_triacanthos,Rock Chestnut Oak,China / Korea / Vietnam,"Ornamental spring bloom, hardy rootstock for edible pears, erosion control"
images/659.jpg,quercus_alba,Eastern Hemlock,Midwest USA,"Durable fence posts, railroad ties, fishing-lure wood, ornamental shade"
images/713.jpg,prunus_subhirtella,Mockernut Hickory,Rocky Mountains USA,"Christmas tree, ornamental, windbreak"
images/720.jpg,pseudolarix_amabilis,Japanese Snowbell,Central & Eastern North America,"Rot-resistant lumber, fodder pods, honey plant, thorny living fence"
images/741.jpg,stewartia_pseudocamellia,Mockernut Hickory,Eastern North America,"Ornamental, hop-substitute fruits, medicinal bark"
images/782.jpg,quercus_stellata,Bald Cypress,Eastern North America,"Timber, wildlife acorns, wetland restoration, ornamental"
images/791.jpg,pinus_rigida,Mockernut Hickory,North America,"Pulpwood, fuel, pine tar/pitch, wildlife habitat on poor soils"
images/798.jpg,salix_nigra,Mockernut Hickory,North America,"Fast shade, maple syrup (minor), windbreak, erosion control"
images/817.jpg,quercus_acutissima,American Elm,Eastern North America,"Edible low-tannin acorns, timber, wildlife food, ornamental"
images/822.jpg,pinus_virginiana,Mockernut Hickory,Eastern North America,"Timber, wildlife acorns, fuel, tannin"
images/881.jpg,chamaecyparis_pisifera,Paper Mulberry,Japan,"Ornamental, bonsai, durable wood for furniture"
images/896.jpg,quercus_michauxii,Mockernut Hickory,China,"Paper-making, fodder leaves, fiber for cloth, ornamental"
images/903.jpg,prunus_pensylvanica,Tulip Tree,Western USA,"Christmas trees, construction lumber, paper, deer cover"
images/917.jpg,amelanchier_canadensis,American Beech,Eastern North America,"Ornamental spring flowers, dense wood for textile spindles, wildlife fruit"
images/921.jpg,liquidambar_styraciflua,American Linden,Eastern North America,"Edible white-walnut nuts, cabinet wood, maple-walnut syrup tapping"
images/942.jpg,pinus_cembra,Common Pawpaw,China,"Silkworm fodder, edible mulberries, fast-growing shade, paper pulp"
images/945.jpg,malus_hupehensis,Cucumber Magnolia,South-central USA,"Durable fence posts, fuel, wildlife acorns, high-tannin bark"
images/954.jpg,castanea_dentata,Green Ash,China,"Ornamental early white flowers, traditional medicine bark, honey plant"
images/955.jpg,magnolia_stellata,Honey Locust,Eastern North America,"Ornamental fringe flowers, dense wood for turning, traditional medicine"
images/965.jpg,chionanthus_retusus,Northern Red Oak,China,"Paper-making, fodder leaves, fiber for cloth, ornamental"
images/1004.jpg,carya_ovata,Shagbark Hickory,China,"Ornamental fringe flowers, dense wood for turning, traditional medicine"
images/1048.jpg,quercus_marilandica,Post Oak,China,"Ornamental crab-apple, edible small fruit, rootstock for apples"
images/1097.jpg,tilia_americana,American Linden,South-central USA,"Durable fence posts, fuel, wildlife acorns, high-tannin bark"
images/1099.jpg,cedrus_atlantica,Atlas Cedar,Eastern North America,"Edible low-tannin acorns, timber, wildlife food, ornamental"
images/1152.jpg,ulmus_parvifolia,Chinese Elm,Eastern North America,"Edible white-walnut nuts, cabinet wood, maple-walnut syrup tapping"
images/1167.jpg,nyssa_sylvatica,Black Tupelo,Eastern North America,"Stream-bank stabilization, flexible shoots for crafts, early bee forage"
images/1204.jpg,quercus_virginiana,Southern Live Oak,Central & Eastern North America,"Rot-resistant lumber, fodder pods, honey plant, thorny living fence"
images/1220.jpg,acer_saccharinum,Silver Maple,Eastern North America,"Edible white-walnut nuts, cabinet wood, maple-walnut syrup tapping"
images/1228.jpg,magnolia_macrophylla,Bigleaf Magnolia,Eastern North America,"Ornamental, hop-substitute fruits, medicinal bark"
images/1240.jpg,crataegus_pruinosa,Frosted Hawthorn,Southeastern United States,"Ornamental red flowers, wildlife nectar, soap from seeds"
images/1253.jpg,pinus_nigra,Austrian Pine,Eastern North America,"Ornamental red flowers, wildlife nectar, soap from seeds"
images/1284.jpg,abies_nordmanniana,Nordmann Fir,Western Caucasus,"Ornamental, fragrant wood for chests, drought-tolerant shade"
images/1296.jpg,pinus_taeda,Loblolly Pine,Eastern North America,"Edible fruit, wildlife food, turnery wood, rootstock"
images/1316.jpg,ficus_carica,Common Fig,China,"Ornamental fringe flowers, dense wood for turning, traditional medicine"
images/1376.jpg,pinus_peucea,Macedonian Pine,North America,Wildlife fruit fast re-foresting ornamental cherry-flavored syrup
images/1392.jpg,populus_grandidentata,Bigtooth Aspen,Southeastern Asia / East Asia,Edible low-tannin acorns timber wildlife food ornamental
images/1441.jpg,acer_platanoides,Norway Maple,North America,Pulpwood fuel pine tar pitch wildlife habitat poor soils
images/1501.jpg,pinus_resinosa,Red Pine,Eastern North America,Wildlife fruit fast re-foresting ornamental cherry-flavored syrup
images/1519.jpg,salix_matsudana,Corkscrew Willow,North-central & Eastern North America,"Windbreak, quick shade, erosion control, bee forage"
images/1535.jpg,pinus_sylvestris,Scots Pine,Eastern North America,"Medicinal bark tea, cordage from inner bark, lumber, wildlife browse"
images/1537.jpg,albizia_julibrissin,Mimosa,Southeastern United States,"Ornamental spring flowers, dense wood for textile spindles, wildlife fruit"
images/1572.jpg,salix_babylonica,Babylon Weeping Willow,North America,"Hardwood lumber, shade tree, wetland soil stabilization, wildlife nest sites"
images/1592.jpg,pinus_echinata,Shortleaf Pine,South-central United States,"Durable fence posts, fuel, wildlife acorns, high-tannin bark"
images/1603.jpg,magnolia_tripetala,Triple-petaled Magnolia,Eastern North America,"Medicinal bark tea, cordage from inner bark, lumber, wildlife browse"
images/1612.jpg,larix_decidua,European Larch,Europe & Asia,"Pulp/timber, ornamental, traditional pine-needle tea, resin"
images/1628.jpg,pinus_strobus,Eastern White Pine,Eastern North America,"Ornamental fringe flowers, dense wood for turning, traditional medicine"
images/1661.jpg,aesculus_glabra,Ohio Buckeye,South-central United States,"Durable fence posts, fuel, wildlife acorns, high-tannin bark"
images/1665.jpg,ginkgo_biloba,Ginkgo,Japan / Korea / China,"Street tree, bonsai, furniture timber substitute for elm"
images/1678.jpg,quercus_cerris,Turkey Oak,Asia,"Ornamental pink bloom, edible young pods, wildlife browse"
images/1698.jpg,metasequoia_glyptostroboides,Dawn Redwood,Eastern North America,"Edible nuts, smoking meats, tool handles, dense high-calorific fuel"
images/1707.jpg,fagus_grandifolia,American Beech,North America,"Wildlife food, jams/jellies (caution), ornamental, erosion control"
images/1722.jpg,quercus_nigra,Water Oak,Central & Eastern North America,"Rot-resistant lumber, fodder pods, honey plant, thorny living fence"
images/1738.jpg,juglans_nigra,Black Walnut,Eastern North America,"Ornamental red flowers, wildlife nectar, soap from saponin-rich seeds"
images/1750.jpg,pinus_koraiensis,Korean Pine,North America,"Pulpwood, fuel, pine tar/pitch, wildlife habitat on poor soils"
images/1757.jpg,oxydendrum_arboreum,Sourwood,Eastern North America,"Hardwood lumber, shade tree, edible beechnuts, wildlife mast"
images/1797.jpg,morus_rubra,Red Mulberry,Japan,"Ornamental star flowers, compact landscaping, bonsai"
images/1801.jpg,crataegus_phaenopyrum,Washington Hawthorn,North America,"Fast shade, maple syrup (minor), windbreak, erosion control"
images/1826.jpg,pinus_wallichiana,Himalayan Pine,Japan / Korea / China,"Ornamental small tree, fragrant flowers, resin for incense"
images/1835.jpg,tilia_europaea,European Linden,Eastern North America,"Edible nuts, smoking meats, tool handles, dense high-calorific fuel"
images/1875.jpg,betula_jacqemontii,Himalayan Birch,Europe & Asia,"Pulp/timber, ornamental, traditional pine-needle tea, resin"
images/1903.jpg,chamaecyparis_thyoides,Atlantic White Cedar,Southeastern United States,"Fast-growing shade, pulpwood, wildlife acorns, wetland soil stabilization"
images/1916.jpg,acer_ginnala,Amur Maple,Southeastern United States,"Fragrant ornamental, traditional medicine bark, nectar for honey"
images/1922.jpg,acer_campestre,Hedge Maple,Central & Eastern North America,"Rot-resistant lumber, fodder pods, honey plant, thorny living fence"
images/1927.jpg,pinus_pungens,Pond Pine,North America,"Fast shade, maple syrup (minor), windbreak, erosion control"
images/1947.jpg,malus_floribunda,Showy Crabapple,China,"Ornamental (mottled bark), drought-tolerant landscaping, pine-nut-like seeds"
images/1968.jpg,picea_orientalis,Oriental Spruce,North America,"Basket-weaving (black-ash splints), tool handles, damp-ground timber, early bee forage"
images/1974.jpg,amelanchier_laevis,Alleghany Serviceberry,Asia,"Ornamental pink bloom, edible young pods, wildlife browse"
images/2081.jpg,celtis_tenuifolia,Hackberry,North America,wildlife food
images/2113.jpg,gymnocladus_dioicus,Kentucky Coffeetree,North America,maple syrup
images/2172.jpg,quercus_bicolor,Swamp White Oak,North America,ornamental
images/2181.jpg,malus_coronaria,Sweet Crabapple,Europe,ornamental
images/2208.jpg,cercidiphyllum_japonicum,Katsura Tree,Europe,timber
images/2238.jpg,cedrus_libani,Cedar of Lebanon,Eastern USA,timber
images/2245.jpg,betula_nigra,River Birch,Southeastern USA,timber
images/2302.jpg,acer_pensylvanicum,Striped Maple,Japan,ornamental
images/2316.jpg,platanus_acerifolia,London Planetree,China,ornamental
images/2359.jpg,robinia_pseudo-acacia,Black Locust,Eastern USA,edible fruit
images/2367.jpg,ulmus_glabra,Wych Elm,Eastern USA,edible fruit
images/2372.jpg,crataegus_laevigata,Midland Hawthorn,China,ornamental
images/2376.jpg,quercus_coccinea,Scarlet Oak,Eastern USA,timber
images/2385.jpg,prunus_serotina,Black Cherry,North America,ornamental
images/2409.jpg,tilia_tomentosa,Silver Linden,China,ornamental
images/2421.jpg,quercus_imbricaria,Shingle Oak,North America,basket weaving
images/2445.jpg,cladrastis_lutea,Yellowwood,Europe,ornamental
images/2495.jpg,fraxinus_pennsylvanica,Green Ash,North America,wildlife food
images/2521.jpg,phellodendron_amurense,Amur Cork Tree,Southeastern USA,timber
images/2533.jpg,betula_lenta,Sweet Birch,Europe,shade tree
images/2556.jpg,quercus_robur,English Oak,Asia,edible fruit
images/2569.jpg,aesculus_flava,Yellow Buckeye,China,ornamental
images/2764.jpg,paulownia_tomentosa,Empress Tree,North America,wildlife food
images/2878.jpg,amelanchier_arborea,Downy Serviceberry,Europe,shade tree
images/2885.jpg,quercus_shumardii,Shumard Oak,Asia,edible fruit
images/2926.jpg,magnolia_grandiflora,Southern Magnolia,Central USA,thorny hedge
images/2946.jpg,cornus_kousa,Kousa Dogwood,Asia,shade tree
images/2967.jpg,betula_alleghaniensis,Yellow Birch,Mediterranean,edible fruit
images/3003.jpg,carpinus_betulus,European Hornbeam,North America,shade tree
images/3131.jpg,aesculus_hippocastamon,Horse Chestnut,Japan,ornamental
images/3170.jpg,malus_baccata,Siberian Crabapple,North America,wildlife food
images/3177.jpg,acer_pseudoplatanus,Sycamore Maple,Asia,shade tree
images/3317.jpg,betula_populifolia,Gray Birch,Eastern North America,"Ornamental, fast landscape tree, light construction timber"
images/3535.jpg,prunus_yedoensis,Yoshino Cherry,Eastern North America,"Hardwood tool handles, fence posts, dense fuel, ornamental"
images/3629.jpg,halesia_tetraptera,Carolina Silverbell,North America,"Ornamental, fast landscape tree, light construction timber"
images/3692.jpg,quercus_palustris,Pin Oak,North America,"Ornamental spring flowers, dense wood, wildlife fruit"
images/3746.jpg,evodia_daniellii,Silk Tree,Southeastern United States,"Fragrant ornamental, traditional medicine bark, nectar for honey"
images/3756.jpg,ulmus_procera,English Elm,China,"Fast-growing shade, maple syrup (minor), windbreak, erosion control"
images/3806.jpg,prunus_serrulata,Japanese Flowering Cherry,North America,"Maple syrup (minor), autumn color, lumber, urban shade tree"
images/3844.jpg,quercus_phellos,Willow Oak,Eastern Asia,"Ornamental shade, bead/soap crafts from pods, yellow dye"
images/4042.jpg,cedrus_deodara,Deodar Cedar,North America,ornamental
images/4095.jpg,celtis_occidentalis,Western Hackberry,China,ornamental
images/4442.jpg,sassafras_albidum,Austrian Pine,Central & Eastern North America,rot-resistant lumber
images/4781.jpg,acer_griseum,Hackberry,Southeastern USA,ornamental
images/4930.jpg,ailanthus_altissima,Pin Cherry,China,ornamental
images/5367.jpg,pinus_thunbergii,Yellow Birch,Japan,ornamental
images/5372.jpg,crataegus_crus-galli,Eastern Hemlock,Eastern USA,ornamental
images/6892.jpg,juniperus_virginiana,Eastern Hemlock,Southeastern USA,ornamental
